,college,state,city,average_costs,graduation_rate,salary_after_attending,students
201,University of Illinois at Springfield,IL,Springfield,12077.0,49.0,44600.0,2877.0
202,Sam Houston State University,TX,Huntsville,13670.0,50.0,44600.0,17902.0
203,University of Northern Iowa,IA,Cedar Falls,15666.0,66.0,44600.0,9943.0
204,Bloomsburg University of Pennsylvania,PA,Bloomsburg,18557.0,62.0,44500.0,8713.0
205,Weber State University,UT,Ogden,10059.0,33.0,44500.0,16866.0
206,The University of Alabama,AL,Tuscaloosa,21676.0,68.0,44500.0,31663.0
207,Truman State University,MO,Kirksville,12362.0,72.0,44500.0,5302.0
208,Ferris State University,MI,Big Rapids,13136.0,42.0,44500.0,12006.0
209,California State University-San Bernardino,CA,San Bernardino,6408.0,53.0,44500.0,18317.0
210,South Dakota State University,SD,Brookings,21070.0,54.0,44400.0,9767.0
211,SUNY College at Old Westbury,NY,Old Westbury,10448.0,42.0,44300.0,4086.0
212,University of Nebraska at Omaha,NE,Omaha,12899.0,46.0,44200.0,12333.0
213,The University of Texas at Tyler,TX,Tyler,12285.0,40.0,44200.0,6473.0
214,Saint Cloud State University,MN,Saint Cloud,14376.0,44.0,44200.0,10283.0
215,University of Wisconsin-Milwaukee,WI,Milwaukee,17940.0,40.0,44200.0,20018.0
216,University of North Carolina at Charlotte,NC,Charlotte,14665.0,55.0,44000.0,23246.0
217,Virginia Commonwealth University,VA,Richmond,21136.0,62.0,44000.0,22614.0
218,SUNY College at Oswego,NY,Oswego,15928.0,66.0,43900.0,7113.0
219,CUNY Brooklyn College,NY,Brooklyn,7361.0,52.0,43900.0,13380.0
220,University of Colorado Colorado Springs,CO,Colorado Springs,16029.0,45.0,43900.0,10153.0
221,University of Toledo,OH,Toledo,16050.0,42.0,43800.0,15145.0
222,Utah Valley University,UT,Orem,8199.0,31.0,43800.0,26571.0
223,Old Dominion University,VA,Norfolk,15920.0,52.0,43700.0,19606.0
224,University of South Florida-Main Campus,FL,Tampa,11249.0,68.0,43500.0,30553.0
225,Millersville University of Pennsylvania,PA,Millersville,20676.0,61.0,43500.0,6867.0
226,University of South Florida-St Petersburg,FL,St. Petersburg,12101.0,37.0,43500.0,4027.0
227,Salem State University,MA,Salem,17856.0,51.0,43500.0,7016.0
228,Bellevue College,WA,Bellevue,8126.0,25.0,43500.0,4627.0
229,SUNY Oneonta,NY,Oneonta,17009.0,72.0,43400.0,5708.0
230,Texas A & M University-Corpus Christi,TX,Corpus Christi,14867.0,36.0,43400.0,9955.0
231,Georgia State University,GA,Atlanta,14773.0,53.0,43300.0,24478.0
232,Montana State University,MT,Bozeman,17050.0,53.0,43200.0,14149.0
233,Utah State University,UT,Logan,12849.0,48.0,43200.0,21833.0
234,Western Illinois University,IL,Macomb,17022.0,53.0,43200.0,8543.0
235,University of North Florida,FL,Jacksonville,13100.0,54.0,43200.0,13585.0
236,Florida Atlantic University,FL,Boca Raton,12605.0,49.0,43200.0,24221.0
237,Oakland University,MI,Rochester Hills,12415.0,45.0,43100.0,16233.0
238,CUNY Lehman College,NY,Bronx,5454.0,40.0,43100.0,10311.0
239,Eastern Washington University,WA,Cheney,13706.0,46.0,43100.0,10546.0
